id,slug,nome,classe,categoria,status_sistema,status_regulatorio,fonte_tecnica,observacoes
1,imidacloprido,Imidacloprido,defensivo,inseticida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
2,lambda-cialotrina,Lambda-cialotrina,defensivo,inseticida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
3,clorpirifos,Clorpirifós,defensivo,inseticida,pre_cadastrado,atencao_regulatoria,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
4,espinetoram,Espinetoram,defensivo,inseticida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
5,metomil,Metomil,defensivo,inseticida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
6,abamectina,Abamectina,defensivo,acaricida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
7,acefato,Acefato,defensivo,inseticida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
8,clorantraniliprole,Clorantraniliprole,defensivo,inseticida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
9,fipronil,Fipronil,defensivo,inseticida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
10,deltametrina,Deltametrina,defensivo,inseticida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
11,mancozebe,Mancozebe,defensivo,fungicida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
12,tebuconazol,Tebuconazol,defensivo,fungicida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
13,azoxistrobina,Azoxistrobina,defensivo,fungicida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
14,ciproconazol,Ciproconazol,defensivo,fungicida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
15,captana,Captana,defensivo,fungicida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
16,difenoconazol,Difenoconazol,defensivo,fungicida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
17,clorotalonil,Clorotalonil,defensivo,fungicida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
18,fluxapiroxade,Fluxapiroxade,defensivo,fungicida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
19,glifosato,Glifosato,defensivo,herbicida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
20,atrazina,Atrazina,defensivo,herbicida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
21,2-4-d,"2,4-D",defensivo,herbicida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
22,s-metolacloro,S-metolacloro,defensivo,herbicida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
23,dicamba,Dicamba,defensivo,herbicida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
24,cletodim,Cletodim,defensivo,herbicida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
25,clomazona,Clomazona,defensivo,herbicida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
26,sulfentrazona,Sulfentrazona,defensivo,herbicida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
27,fluopiram,Fluopiram,defensivo,fungicida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
28,propargito,Propargito,defensivo,acaricida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
29,metaldeido,Metaldeído,defensivo,moluscicida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
30,fosfato-ferrico,Fosfato férrico,defensivo,moluscicida,pre_cadastrado,nao_validado_agrofit,Conhecimento técnico geral — pendente de validação por fonte oficial,Base técnica para cadastro/consulta; não é receituário agronômico. Culturas/alvos exigem validação na bula e no AGROFIT.
40,npk-04-14-08,NPK 04-14-08,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
41,npk-20-05-20,NPK 20-05-20,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
42,npk-10-10-10,NPK 10-10-10,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
43,ureia,Ureia,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
44,sulfato-de-amonio,Sulfato de amônio,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
45,nitrato-de-calcio,Nitrato de cálcio,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
46,map,MAP,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
47,dap,DAP,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
48,superfosfato-simples,Superfosfato simples,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
49,superfosfato-triplo,Superfosfato triplo,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
50,cloreto-de-potassio,Cloreto de potássio,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
51,fosfato-monopotassico-mkp,Fosfato monopotássico MKP,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
52,nitrato-de-potassio,Nitrato de potássio,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
53,sulfato-de-magnesio,Sulfato de magnésio,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
54,enxofre-bentonita,Enxofre bentonita,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
55,boro-granubor,Fonte de boro (Granubor),fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
56,fosfato-natural-reativo,Fosfato natural reativo,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
57,npk-s-granulado,NPK+S granulado,fertilizante,mineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
58,esterco-bovino-curtido,Esterco bovino curtido,fertilizante,organico,pre_cadastrado,tipo_tecnico_generico,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
59,cama-de-frango-curtida,Cama de frango curtida,fertilizante,organico,pre_cadastrado,tipo_tecnico_generico,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
60,composto-organico,Composto orgânico,fertilizante,organico,pre_cadastrado,tipo_tecnico_generico,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
61,humus-de-minhoca,Húmus de minhoca,fertilizante,organico,pre_cadastrado,tipo_tecnico_generico,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
62,torta-de-mamona,Torta de mamona,fertilizante,organico,pre_cadastrado,tipo_tecnico_generico,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
63,organomineral-npk-granulado,Organomineral NPK granulado,fertilizante,organomineral,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
64,biofertilizante-liquido-fermentado,Biofertilizante líquido fermentado,fertilizante,biofertilizante,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
65,extrato-de-algas,Extrato de algas,fertilizante,biofertilizante,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
66,inoculante-bradyrhizobium-soja,Inoculante Bradyrhizobium para soja,fertilizante,inoculante,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
67,inoculante-azospirillum-milho,Inoculante Azospirillum para milho,fertilizante,inoculante,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
68,calcario-dolomitico,Calcário dolomítico,fertilizante,corretivo,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
69,gesso-agricola,Gesso agrícola,fertilizante,corretivo,pre_cadastrado,sujeito_a_sipeagro_nao_validado,Conhecimento técnico geral — pendente de validação por fonte oficial,Tipo técnico/genérico para cadastro/consulta; não é recomendação agronômica. Dose e uso exigem análise de solo e orientação técnica.
